split,model,model_label,horizon,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
test,recursive_linear_regression,Recursive Linear Regression,24,184,1836.7584965883,2323.6993432885,6.4728692297,6.2730896724,708.3565377847,0.7979411812
test,recursive_xgboost,Recursive XGBoost,1,184,527.2192382812,686.4427542115,1.8081623062,1.8007016292,-4.9753948709,0.9862888171
test,recursive_xgboost,Recursive XGBoost,2,184,1079.7809315557,1422.8907759135,3.8061457057,3.7105940560,339.5705247962,0.9530815498
test,recursive_xgboost,Recursive XGBoost,3,184,1154.3450131624,1541.9231169498,3.8296024687,3.7442273408,202.9287215523,0.9447511591
test,recursive_xgboost,Recursive XGBoost,4,184,1092.2047278363,1382.5476182147,3.3631534539,3.3289125570,3.0756729789,0.9480693846
test,recursive_xgboost,Recursive XGBoost,5,184,1051.1274201766,1328.3155567976,3.2714264662,3.2392319355,66.6869480299,0.9465398945
test,recursive_xgboost,Recursive XGBoost,6,184,1003.3997855808,1244.4755367500,3.1917096114,3.1699704126,79.4571480129,0.9469790327
test,recursive_xgboost,Recursive XGBoost,7,184,865.8463506284,1088.0799984208,2.8059516007,2.8064038805,-71.9013353431,0.9514907864
test,recursive_xgboost,Recursive XGBoost,8,184,719.6617484715,918.2538816233,2.4653033088,2.4692399322,-123.5656632133,0.9504272283
test,recursive_xgboost,Recursive XGBoost,9,184,625.3900305707,801.4252368734,2.2922904212,2.2939968568,-71.9973462976,0.9473508707
test,recursive_xgboost,Recursive XGBoost,10,184,564.8213633662,718.1469122438,2.1559109097,2.1631025625,-123.9492718240,0.9449114292
test,recursive_xgboost,Recursive XGBoost,11,184,532.9175335428,706.1530672729,2.1178266923,2.1234637578,-83.4045410156,0.9300278456
test,recursive_xgboost,Recursive XGBoost,12,184,553.0613854450,746.1285282606,2.2885486374,2.2805226032,87.7749554178,0.9063468658
test,recursive_xgboost,Recursive XGBoost,13,184,587.6656441067,772.9300079826,2.5143068841,2.4967786276,177.1820970618,0.8905453600
test,recursive_xgboost,Recursive XGBoost,14,184,616.5638693105,808.3776075970,2.6839586561,2.6535758700,255.5897694463,0.8744332171
test,recursive_xgboost,Recursive XGBoost,15,184,674.1883173404,876.9170743062,2.9404252963,2.8896425612,350.9188285496,0.8534384375
test,recursive_xgboost,Recursive XGBoost,16,184,724.2182617188,982.0144666077,3.0171546536,2.9706200732,232.2370923913,0.8351894658
test,recursive_xgboost,Recursive XGBoost,17,184,892.5017620584,1225.0520017265,3.3818755572,3.3876149961,-224.2301503057,0.8238433277
