split,horizon,metric,unit,count,mae_mwh,rmse_mwh,bias_mwh,mape_pct,mape_count,smape_pct,smape_count
validation,8,renewable_combined,MWh,182,964.8131868132,1209.5105267362,-6.7032967033,67.2581529516,182,42.0485477844,182
validation,8,residual_demand,MWh,182,1134.0096153846,1462.7735630132,-61.7645947802,5.1727610054,182,5.1974573542,182
validation,8,renewable_share,percentage_points,182,3.9549073752,4.9792589974,-0.0093125200,67.5706457748,182,42.2205266011,182
validation,9,renewable_combined,MWh,182,910.7142857143,1168.6300705348,-6.7472527473,67.8654455094,182,41.3559468418,182
validation,9,residual_demand,MWh,182,1092.4400862809,1386.9603149641,71.1651249141,5.3368644474,182,5.3313475822,182
validation,9,renewable_share,percentage_points,182,3.9601961935,5.0623399561,-0.1012151814,67.9973649243,182,41.6680404399,182
validation,10,renewable_combined,MWh,182,883.0714285714,1143.9395180162,-10.2032967033,63.8293258754,182,40.8587511125,182
validation,10,residual_demand,MWh,182,1025.1444775927,1306.3040874145,119.9725382040,5.2517003507,182,5.2440969786,182
validation,10,renewable_share,percentage_points,182,3.9967355716,5.1387951579,-0.1125810922,63.7943615645,182,41.1918720260,182
validation,11,renewable_combined,MWh,182,870.5769230769,1133.3427146240,-12.6758241758,63.6484711237,182,41.2498792896,182
validation,11,residual_demand,MWh,182,1039.2725682521,1304.4382806342,184.2772042411,5.5416648283,182,5.5184161332,182
validation,11,renewable_share,percentage_points,182,4.0770047964,5.2513742995,-0.1775376461,63.4072342175,182,41.6220121941,182
validation,12,renewable_combined,MWh,182,887.4890109890,1158.9555239928,-14.3241758242,60.6210409019,182,42.1327334193,182
validation,12,residual_demand,MWh,182,1052.4630086710,1326.3343794007,242.7527150584,5.7936190845,182,5.7498455751,182
validation,12,renewable_share,percentage_points,182,4.2727517375,5.5106795078,-0.2220976484,60.3864878923,182,42.5363509777,182
validation,13,renewable_combined,MWh,182,893.1263736264,1164.4579104780,-14.0054945055,64.0216248939,182,42.8431491171,182
validation,13,residual_demand,MWh,182,1072.7816148695,1352.5016625572,280.3454026442,5.9999726804,182,5.9338130503,182
validation,13,renewable_share,percentage_points,182,4.3646589964,5.6199077456,-0.2335803113,63.5124877988,182,43.3395127960,182
validation,14,renewable_combined,MWh,182,902.4615384615,1182.4244138656,-11.8901098901,67.0805226362,182,43.5795959356,182
validation,14,residual_demand,MWh,182,1114.3880923764,1408.5345345129,343.3592032967,6.2101411237,182,6.1136993129,182
validation,14,renewable_share,percentage_points,182,4.3766233741,5.6952453426,-0.2329857575,66.0589194239,182,43.9711004374,182
validation,15,renewable_combined,MWh,182,932.5274725275,1208.9931557083,-11.3626373626,68.1591952282,182,45.5751588311,182
validation,15,residual_demand,MWh,182,1149.6216517857,1469.8048064950,295.5760216346,6.2005498756,182,6.1009249969,182
validation,15,renewable_share,percentage_points,182,4.3956686358,5.6956516359,-0.1605315260,66.8016023711,182,45.6805017780,182
validation,16,renewable_combined,MWh,182,943.7197802198,1225.2221081444,-28.4120879121,55.1137468620,182,39.4789195190,182
validation,16,residual_demand,MWh,182,1215.3000085852,1544.3259774730,152.7808636676,6.5816210035,182,6.5259327407,182
validation,16,renewable_share,percentage_points,182,4.3016093513,5.5886585191,-0.1679527926,54.5483788304,182,39.7276230912,182
validation,17,renewable_combined,MWh,182,1033.8186813187,1317.0087173358,-61.5659340659,38.6073899478,182,30.9420513862,182
validation,17,residual_demand,MWh,182,1268.2827094780,1612.7191666816,-134.4479739011,8.2157621283,182,8.2738558824,182
validation,17,renewable_share,percentage_points,182,4.5180303483,5.7805949364,0.0813515789,39.0973482126,182,31.1700217254,182
validation,18,renewable_combined,MWh,182,1296.3571428571,1661.5960469010,-77.2582417582,18.4314027201,182,18.1326855268,182
validation,18,residual_demand,MWh,182,1599.4868861607,1982.5213274549,-419.5289749313,13.2361014985,182,13.7087673207,182
validation,18,renewable_share,percentage_points,182,5.8821022857,7.4181595362,0.7034564220,19.3250611925,182,18.7242731217,182
